#,Name,City,Area
155,"Parc Micro Sciences Trois-Rivières","Trois-Rivières","28,036 m2 / 500,000 pi2"
156,"Parc industriel aéroportuaire Trois-Rivières","Trois-Rivières","3,797,412 m2 / 58,125,116 pi2"
157,"Parc Industriel du Moulin St-Patrice","Saint-Patrice-de-Beaurivage","64,000 m2 / N/D"
158,"Lyster 1","Lyster","20,439 m2 / N/D"
159,"Ecoparc Industriel","Saint-Bruno-de-Montarville","268,477 m2 / 3,262,795 pi2"
160,"Parc d'affaires Gérard-Filion","Saint-Bruno-de-Montarville","94,305 m2 / 30,000,000 pi2"
161,"Parc industriel de Dégelis","Dégelis","100,158 m2 / 3,674,885 pi2"
162,"Parc industriel du secteur sud","Hébertville-Station","119,800 m2 / 16,500,866 pi2"
163,"Parc industriel Jimmy Russell","Cap-Chat","330,000 m2 / 7,635,239 pi2"
164,"Parc industriel Roxton Falls","Roxton Falls","42,287 m2 / N/D"
165,"Parc Industriel Hemmingford","Hemmingford","48,592 m2 / 607,841 pi2"
166,"Parc industriel quartier Cabano","Témiscouata-sur-le-Lac","0 m2 / 200,000 pi2"
167,"Parc industriel Simon (Lachute)","Lachute","133,059 m2 / N/D"
168,"Parc industriel Aéroparc (Lachute)","Lachute","255,717 m2 / N/D"
169,"Parc industriel Orica","Brownsburg-Chatham","343,300 m2 / N/D"
170,"Parc industriel Argenteuil","Saint-André-d'Argenteuil","127,500 m2 / N/D"
171,"Parc industriel de Grenville","Grenville","162,500 m2 / N/D"
172,"Parc industriel Marelan","Grenville-sur-la-Rouge","576,300 m2 / N/D"
173,"Parc technologique du Québec métropolitain","Québec","92,903 m2 / 5,000,000 pi2"
174,"Parc Industriel Nazaire-Laurin","Joliette","278,709 m2 / 5,005,218 pi2"
175,"Parc industriel J-A Roy","Joliette","N/D / 3,659,729 pi2"
176,"Parc industriel Notre-Dame-des-Prairies","Notre-Dame-des-Prairies","200,403 m2 / 4,999,997 pi2"
177,"Parc industriel de Kingsey Falls","Kingsey Falls","120,774 m2 / 1,700,000 pi2"
178,"Écoparc industriel Daniel-Gaudreau","Victoriaville","95,000 m2 / 1,076,391 pi2"
179,"Parc Fidèle-Édouard-Alain","Victoriaville","400,000 m2 / 13,993,083 pi2"
180,"Parc industriel Sortie 220","Victoriaville","139,355 m2 / 3,000,000 pi2"
181,"Parc Paul-André-Poirier","Victoriaville","28,000 m2 / 15,069,474 pi2"
182,"Parc industriel Anjou","Montréal","12,745 m2 / 10,543,426 pi2"
183,"Technoparc Saint-Laurent","Montréal","1,460,000 m2 / 24,872,972 pi2"
184,"Cité Scientifique","Montréal","N/D / 2,766,855 pi2"
185,"Parc industriel Jarry","Montréal","N/D / 2,330,188 pi2"
186,"Parc industriel Armand-Chaput","Rivière-des-Prairies-Pointe-aux-Trembles","9,903 m2 / 11,276,536 pi2"
187,"Parc industriel Pointe-aux-Trembles 3","Rivière-des-Prairies-Pointe-aux-Trembles","30,905 m2 / 836,535 pi2"
188,"Parc industriel Armand-Bombardier","Rivière-des-Prairies-Pointe-aux-Trembles","6,152 m2 / 2,496,601 pi2"
189,"Parc industriel Rodolphe-Forget","Rivière-des-Prairies-Pointe-aux-Trembles","54,779 m2 / 3,588,362 pi2"
190,"Secteur industriel Maurice-Duplessis","Rivière-des-Prairies-Pointe-aux-Trembles","31,193 m2 / 2,906,394 pi2"
191,"Parc industriel Saint-Jean-Baptiste","Rivière-des-Prairies-Pointe-aux-Trembles","93,993 m2 / 6,014,163 pi2"
192,"Parc industriel Henri-Bourassa","Rivière-des-Prairies-Pointe-aux-Trembles","9,913 m2 / 6,131,086 pi2"
193,"Parc industriel Pointe-aux-Trembles 1","Rivière-des-Prairies-Pointe-aux-Trembles","90,897 m2 / 15,981,710 pi2"
194,"Parc industriel Pointe-aux-Trembles 2","Rivière-des-Prairies-Pointe-aux-Trembles","21,406 m2 / 1,132,574 pi2"
195,"Parc industriel de L'Assomption","Mercier-Hochelaga-Maisonneuve","100,118 m2 / 8,883,909 pi2"
196,"Parc industriel de Louis-Hippolyte-Lafontaine","Mercier-Hochelaga-Maisonneuve","21,139 m2 / 4,399,357 pi2"
197,"Secteur Bridge-Wellington","Le Sud-Ouest","43,619 m2 / 4,056,498 pi2"
198,"Parc industriel Saint-Charles","Le Sud-Ouest","144,218 m2 / 3,792,781 pi2"
199,"Parc industriel Papineau","Villeray - Saint-Michel - Parc-Extension","18,069 m2 / 3,261,149 pi2"
200,"Parc industriel Pie-IX","Villeray - Saint-Michel - Parc-Extension","15,461 m2 / 3,823,903 pi2"
201,"Parc industriel de Val-d'Or","Val-d'Or","489,000 m2 / 17,200,728 pi2"
202,"Parc industriel de Valcourt","Valcourt","89,664 m2 / 1,679,686 pi2"
203,"Parc industriel François Leclerc","Saint-Augustin-de-Desmaures","138,704 m2 / 34,999,995 pi2"
204,"Parc industriel François Leclerc Nord","Saint-Augustin-de-Desmaures","510,966 m2 / 7,887,718 pi2"
205,"Parc industriel de Cacouna 1","Cacouna","1,650,000 m2 / 22,604,211 pi2"
